"","MAP","Cover"
"1",650,50
"2",454,42
"3",454,42
"4",454,37
"5",454,21
"6",469,41.3
"7",469,29.2
"8",530,45
"9",530,29.8
"10",366,40.1
"11",366,26.1
"12",354,11.1
"13",382,26.9
"14",379,16.1
"15",379,30.3
"16",342,30.8
"17",322,29.7
"18",322,17.4
"19",321,14.3
"20",372,19
"21",336,17.1
"22",379,20.6
"23",299,11
"24",299,5
"25",287,18.2
"26",287,14
"27",279,4.9
"28",279,3.6
"29",328,15.6
"30",328,20.8
"31",320,20.4
"32",320,7.5
"33",320,16.3
"34",320,11.7
"35",298,9.6
"36",291,23.3
"37",274,2.5
"38",274,6.7
"39",285,15.3
"40",285,21.6
"41",303,8.6
"42",379,26
"43",379,24.6
"44",406,30
"45",404,11.7
"46",429,32.3
"47",453,27.8
"48",368,22.5
"49",368,20.8
"50",330,26.6
"51",330,23.3
"52",373,22.8
"53",373,36.1
"54",373,41.8
"55",373,20.9
"56",303,6.9
"57",372,35.6
"58",372,26.5
"59",358,14.5
"60",358,14.7
"61",358,8.1
"62",369,14.1
"63",433,25
"64",403,9.7
"65",369,6.6
"66",369,29.7
"67",385,18.8
"68",490,2.7
"69",490,16.8
"70",480,16.3
"71",480,26
"72",480,20.2
"73",450,11.1
"74",450,44.6
"75",447,37.9
"76",443,41
"77",443,38.9
"78",446,32.8
"79",446,31.4
"80",411,22.5
"81",411,31.8
"82",411,26.2
"83",375,22.8
"84",375,16.9
"85",376,19.9
"86",376,14.2
"87",359,16.2
"88",477,7.1
"89",506,30.5
"90",506,52.5
"91",535,46.5
"92",501,2.3
"93",512,13
"94",528,1.5
"95",512,24.3
"96",528,38.6
"97",547,51.3
"98",563,14.4
"99",550,45
"100",558,43.3
"101",558,44.6
"102",446,29.9
"103",421,33.8
"104",437,43.2
"105",425,35.3
"106",398,44
"107",396,25.3
"108",396,13.3
"109",368,14.7
"110",342,30.7
"111",438,36.5
"112",438,17.3
"113",368,13.8
"114",368,19.1
"115",268,4
"116",596,2
"117",635,50
"118",738,90
"119",736,70
"120",789,80
"121",1022,80
