"","Treatment","TreeNum","EC","pH","B","C","Na","Mg","P","S","N","K","Ca","Mn","Cu","Zn","N_NO3","N_NH4"
"1","SP0AS0",21,88.3,6.33,0.13,2.59,7,2.87,10,9.2,1600,241,3.74,317.4,3.31,7.68,7.4,15.32
"2","SP1AS4",1,89.9,5.24,0.12,1.95,7,1.4,99,13,1800,304,1.75,172.6,2.58,5.24,5.08,18.32
"3","SP0AS4",0,56.9,4.93,0.17,2.34,9,0.98,24,13,1800,263,1.69,116,2.59,3.6,2.53,19.99
"4","SP2AS4",0,72,4.87,0.17,2.2,8,1.31,163,18,1800,301,2.12,146.7,2.85,4.46,2.59,22.08
"5","SP1AS0",3,84.6,6.06,0.18,2.83,8,2.93,102,8.5,3100,257,5.67,413.8,5.09,8.66,4.63,17.37
"6","SP2AS1",0,124.2,5.96,0.25,3.35,8,2.89,148,16.65,2600,445,6.2,324,4.13,6.92,12.21,31.44
"7","SP0AS2",13,70.3,5.7,0.15,2.36,8,2.06,14,8.6,2100,332,2.93,224.7,3.14,4.85,3.38,17.84
"8","SP2AS0",6,133,6.16,0.31,3.2,7,3.1,122,12,2700,329,7.68,356.9,4.53,9.21,9.3,31.32
"9","SP2AS2",7,96.3,6.15,0.21,1.99,8,2.17,138,10,1800,330,4.74,276.9,3.37,5.71,5.24,20.12
"10","SP1AS1",3,60.9,5.95,0.11,1.76,6,2.04,94,15,1600,269,3.36,282.2,3.46,5.26,2.98,14.96
"11","SP2AS3",0,66.2,5.39,0.15,2,6,1.56,179,11,1900,324,2.82,152.7,2.61,5.39,2.53,20.32
"12","SP1AS3",5,89.2,5.49,0.16,2.34,7,1.96,96,9.5,2000,338,2.6,183.1,2.97,6.33,2.52,21.49
"13","SP0AS1",5,69.1,6.23,0.13,2.01,10,2.9,10,13,1500,315,3.48,308.9,3.94,5.34,4.92,14.19
"14","SP1AS2",3,86,5.98,0.14,2.11,9,2.45,56,14,1800,309,3.61,270.8,3.5,6.31,5.84,15.74
"15","SP0AS3",2,61.5,5.24,0.19,2.05,8,1.67,17,7.8,1700,320,1.97,194.9,3.01,3.43,5.15,17.15
"16","SP0AS1",10,66.4,6.27,0.19,2.32,7,2.64,14,9.2,2100,311,4.25,302.2,3.46,5.38,5.42,14.01
"17","SP1AS0",10,60.6,5.97,0.16,2.03,8,2.05,93,8.4,2200,227,4.3,338,3.99,5.06,2.62,13.79
"18","SP1AS3",4,62.1,5.69,0.14,2.44,7,1.72,106,11,1800,297,2.97,157.6,2.4,4.68,1.64,14.62
"19","SP2AS2",3,72.3,5.9,0.13,2.01,6,1.8,166,8.8,1700,246,4.11,247.2,3.28,5.57,4.85,16.51
"20","SP2AS0",9,112.4,6.37,0.23,2.3,6,2.57,123,9.6,1700,339,6.06,314.2,4.19,5.63,3.98,21.25
"21","SP2AS4",0,130.4,5.32,0.26,2.61,6,2.26,171,18,2600,424,2.43,180.1,3.46,5.31,12.99,28.15
"22","SP0AS2",0,602,5.86,0.18,2.46,7,3.25,13,11,2000,394,3.72,215,3.16,6.27,2.8,16.42
"23","SP1AS2",4,68.9,5.96,0.17,1.87,9,2.43,89,7.9,2100,289,3.56,247.9,3.81,4.79,4.47,13.62
"24","SP0AS0",9,109.5,6.6,0.29,2.61,9,3.48,16,9.6,2500,381,6.13,304.1,4.08,6.04,8.84,16.66
"25","SP2AS3",6,96.4,5.64,0.25,2.59,8,2.49,147,12,2400,362,4.31,215.5,3.46,6.45,5.33,22.03
"26","SP1AS4",1,66.2,5.39,0.16,2.83,7,1.83,111,12,2000,334,2.22,214.3,2.73,5.08,6.69,17.23
"27","SP0AS3",1,89.1,5.42,0.18,2.46,7,1.8,20,12,2100,409,2.4,191.5,3.08,4.64,10.18,23.46
"28","SP2AS1",8,90.8,5.96,0.14,2.26,7,2,163,11,1700,304,4.64,310.4,3.9,7.27,6.9,23.37
"29","SP1AS1",8,83.9,6.02,0.12,2.11,7,2.32,78,13,1600,301,3.96,278,3.63,6.28,3.84,23.4
"30","SP0AS4",2,84.7,4.97,0.17,2.15,5,1.14,18,18,2200,350,1.54,104.8,2.58,3.91,11.67,37.99
"31","SP1AS3",2,106.8,5.41,0.19,1.89,6,1.53,74,13,1900,288,2.46,170.7,3.06,3.93,2.29,25.55
"32","SP0AS2",8,64.9,5.75,0.14,2.22,7,1.82,16,8.6,2000,288,2.81,174.5,2.91,4.73,4.17,16.3
"33","SP2AS1",9,78.2,6.03,0.17,2.38,9,2.16,136,9.6,1700,298,4.67,267.5,3.35,6.11,3.27,23.04
"34","SP0AS3",2,75.8,5.67,0.14,2.38,9,1.62,15,7.8,1900,403,2.21,157.8,2.16,5.03,5.7,17.13
"35","SP2AS3",0,72.1,5.66,0.15,2.36,8,1.77,166,7,2300,415,3.19,192.4,2.67,5.66,5.62,14.81
"36","SP0AS4",0,83.8,5.6,0.2,2.28,8,1.55,15,15,1800,503,1.76,143.6,1.85,4.55,2.39,19.31
"37","SP1AS4",0,85.5,5.51,0.17,2.94,9,1.95,85,13,4600,452,2.53,172.2,2.31,6.19,4.32,21.33
"38","SP0AS1",6,69.3,6.14,0.14,1.87,8,2.34,12,9.4,1700,302,3.05,214.7,3.09,5.13,2.74,18.31
"39","SP2AS4",1,64.2,5.28,0.14,2.15,7,1.35,160,8.5,1600,347,2.06,122.1,2.18,4.03,3.23,16.94
"40","SP1AS1",9,90.4,5.93,0.24,2.52,7,2.2,97,10,2100,369,4.15,263.4,3.54,5.32,6.41,22.08
"41","SP1AS0",17,198.1,5.83,0.47,4.8,7,3.38,103,27,3200,492,7.18,321.7,3.68,8.11,13.98,64.47
"42","SP2AS0",14,153.6,6.07,0.44,4.6,8,3.03,133,16,4200,441,7.91,322.5,3.57,9.04,7.13,29.4
"43","SP2AS2",2,209,5.57,0.2,2.42,8,1.99,159,30,2000,443,3.92,238.4,3.1,5.97,2.1,63.64
"44","SP1AS2",13,131.5,6,0.17,2.01,7,1.98,83,17,1600,369,3.18,211.1,3.06,4.75,6.22,100.59
"45","SP0AS0",30,213,6.3,0.49,3.47,9,3.68,16,14,2300,449,7.12,291.6,2.93,6.16,13.55,40.59
"46","SP0AS2",4,65.8,5.91,0.12,1.85,7,1.75,12,8.2,1500,311,2.67,192.4,2.75,4.79,3.39,16
"47","SP1AS1",4,85.5,5.99,0.12,1.89,8,1.95,84,8.8,1700,289,4.36,255.2,3.05,5.63,2.89,16.76
"48","SP1AS2",7,67.3,5.87,0.08,1.95,7,1.75,69,9.2,1400,274,3.26,241.1,3.04,5.06,5.56,14.62
"49","SP1AS4",2,81.6,5.34,0.13,2.11,7,1.44,80,13,1600,361,2.05,150,2.14,3.97,3.68,18.84
"50","SP2AS0",5,126.5,6.28,0.21,2.87,7,2.73,119,12,2300,449,6.25,269.1,3.22,6.93,5.7,21.69
"51","SP2AS1",0,133.8,6.16,0.26,2.83,6,2.5,150,18,2200,502,5.82,259.7,3.52,7.79,3.43,25.31
"52","SP1AS0",15,113.5,6.12,0.22,2.94,8,2.49,86,16,2600,371,5.86,292.6,3.09,8.07,4.34,23.32
"53","SP0AS3",9,69.3,6.61,0.12,2.22,8,1.66,15,8.5,2400,373,2.58,131.4,2.04,4.1,3.04,18.69
"54","SP2AS2",4,96,5.89,0.15,2.34,8,1.99,148,5,1900,312,4.64,191.1,3.09,5.43,6.02,19.95
"55","SP0AS4",3,60.8,5.05,0.15,2.07,8,1.09,16,9.2,1600,380,1.45,107.9,2.27,2.85,1.63,17.22
"56","SP0AS0",5,77.2,6.29,0.13,1.95,9,2.85,12,9.2,1700,303,3.46,343.5,4.17,6.5,3.64,26.88
"57","SP2AS3",2,71.5,5.16,0.12,2.32,9,1.66,180,9.6,1600,294,2.69,161,2.88,4.37,3.1,18.97
"58","SP0AS1",1,76.7,6.21,0.15,2.54,8,2.48,11,9.3,2000,330,3.69,270.5,3.78,5.1,3.61,16.96
